name,timestamp,value,container,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service
container_cpu_cfs_throttled_seconds_total,"[1650032622.522, '0.3925669']","[1650032652.522, '0.3925669']","[1650032682.522, '0.3925669']","[1650032712.524, '0.3925669']","[1650032742.525, '0.399234']","[1650032772.522, '0.4194179']","[1650032802.522, '0.4194179']","[1650032832.522, '0.4194179']","[1650032862.522, '0.4194179']","[1650032892.522, '0.4584401']","[1650032922.522, '0.5016621']","[1650032952.522, '0.5016621']","[1650032982.522, '0.5016621']","[1650033012.522, '0.5016621']","[1650033042.522, '0.5016621']","[1650033072.522, '0.5016621']","[1650033102.522, '0.5016621']","[1650033132.522, '0.5016621']","[1650033162.522, '0.5016621']","[1650033192.522, '0.5016621']","[1650033222.522, '0.5016621']","[1650033252.522, '0.5284247']","[1650033282.522, '0.5694496']","[1650033312.522, '0.5694496']","[1650033342.524, '0.5694496']","[1650033372.522, '0.5694496']","[1650033402.522, '0.5694496']","[1650033432.522, '0.5842395']","[1650033462.522, '0.5842395']","[1650033492.522, '0.5842395']","[1650033522.522, '0.5842395']","[1650033552.522, '0.5842395']","[1650033582.522, '0.5842395']","[1650033612.522, '0.5842395']","[1650033642.522, '0.5842395']","[1650033672.522, '0.5842395']","[1650033702.522, '0.5842395']","[1650033732.522, '0.5842395']","[1650033762.526, '0.5842395']","[1650033792.522, '0.5842395']","[1650033822.522, '0.5842395']","[1650033852.522, '0.5842395']","[1650033882.525, '0.5842395']","[1650033912.522, '0.6254875']","[1650033942.522, '0.6254875']","[1650033972.524, '0.6254875']","[1650034002.522, '0.6254875']","[1650034032.522, '0.6254875']","[1650034062.522, '0.6254875']","[1650034092.522, '0.7075184']","[1650034122.524, '0.7457884']","[1650034152.522, '0.7457884']","[1650034182.528, '0.7457884']","[1650034212.522, '0.7457884']","[1650034242.522, '0.7457884']","[1650034272.522, '0.7457884']","[1650034302.522, '0.7457884']","[1650034332.528, '0.7457884']","[1650034362.522, '0.7457884']",alertmanager,https-metrics,/kubepods/burstable/pod254afd00-d3d6-440c-bfa1-3b674817b14f/55b09e31588ec9518cee76280d1a0d8982b2f13bbb723815e0deb518dedfc1c4,quay.io/prometheus/alertmanager:v0.22.2,10.1.0.79:10250,kubelet,/metrics/cadvisor,55b09e31588ec9518cee76280d1a0d8982b2f13bbb723815e0deb518dedfc1c4,monitoring,fv-az208-96,alertmanager-main-2,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650032622.522, '0.3484514']","[1650032652.522, '0.3484514']","[1650032682.522, '0.3484514']","[1650032712.524, '0.3484514']","[1650032742.525, '0.3484514']","[1650032772.522, '0.3484514']","[1650032802.522, '0.3596834']","[1650032832.522, '0.3596834']","[1650032862.522, '0.3615739']","[1650032892.522, '0.3631367']","[1650032922.522, '0.4090034']","[1650032952.522, '0.4090034']","[1650032982.522, '0.4090034']","[1650033012.522, '0.4090034']","[1650033042.522, '0.4816109']","[1650033072.522, '0.4816109']","[1650033102.522, '0.4871232']","[1650033132.522, '0.4871232']","[1650033162.522, '0.5306728']","[1650033192.522, '0.5306728']","[1650033222.522, '0.5306728']","[1650033252.522, '0.5306728']","[1650033282.522, '0.5306728']","[1650033312.522, '0.577254']","[1650033342.524, '0.577254']","[1650033372.522, '0.577254']","[1650033402.522, '0.577254']","[1650033432.522, '0.577254']","[1650033462.522, '0.577254']","[1650033492.522, '0.577254']","[1650033522.522, '0.577254']","[1650033552.522, '0.5786202']","[1650033582.522, '0.5786202']","[1650033612.522, '0.5786202']","[1650033642.522, '0.5786202']","[1650033672.522, '0.5786202']","[1650033702.522, '0.5786202']","[1650033732.522, '0.5786202']","[1650033762.526, '0.5786202']","[1650033792.522, '0.5786202']","[1650033822.522, '0.5786202']","[1650033852.522, '0.6013461']","[1650033882.525, '0.6013461']","[1650033912.522, '0.6013461']","[1650033942.522, '0.6013461']","[1650033972.524, '0.6013461']","[1650034002.522, '0.6013461']","[1650034032.522, '0.6013461']","[1650034062.522, '0.6013461']","[1650034092.522, '0.6013461']","[1650034122.524, '0.6013461']","[1650034152.522, '0.6460696']","[1650034182.528, '0.6460696']","[1650034212.522, '0.6460696']","[1650034242.522, '0.6870433']","[1650034272.522, '0.6870433']","[1650034302.522, '0.7672788']","[1650034332.528, '0.7672788']","[1650034362.522, '0.7672788']",alertmanager,https-metrics,/kubepods/burstable/pod3ca78248-fa61-4038-b10e-e2f1208c87a9/a4826c07eb3da89fcd9ddb952f906a12b730e4b32e2e1427986a9c7876ad2775,quay.io/prometheus/alertmanager:v0.22.2,10.1.0.79:10250,kubelet,/metrics/cadvisor,a4826c07eb3da89fcd9ddb952f906a12b730e4b32e2e1427986a9c7876ad2775,monitoring,fv-az208-96,alertmanager-main-1,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650032622.522, '0.2572001']","[1650032652.522, '0.2572001']","[1650032682.522, '0.2572001']","[1650032712.524, '0.2572001']","[1650032742.525, '0.2572001']","[1650032772.522, '0.2572001']","[1650032802.522, '0.2572001']","[1650032832.522, '0.2572001']","[1650032862.522, '0.2572001']","[1650032892.522, '0.2572001']","[1650032922.522, '0.2572001']","[1650032952.522, '0.2572001']","[1650032982.522, '0.2572001']","[1650033012.522, '0.2572001']","[1650033042.522, '0.2572001']","[1650033072.522, '0.2572001']","[1650033102.522, '0.2911655']","[1650033132.522, '0.2911655']","[1650033162.522, '0.2911655']","[1650033192.522, '0.2911655']","[1650033222.522, '0.2911655']","[1650033252.522, '0.2911655']","[1650033282.522, '0.2911655']","[1650033312.522, '0.2911655']","[1650033342.524, '0.2911655']","[1650033372.522, '0.2911655']","[1650033402.522, '0.2911655']","[1650033432.522, '0.2911655']","[1650033462.522, '0.2911655']","[1650033492.522, '0.2911655']","[1650033522.522, '0.2911655']","[1650033552.522, '0.2911655']","[1650033582.522, '0.2911655']","[1650033612.522, '0.2911655']","[1650033642.522, '0.2911655']","[1650033672.522, '0.2911655']","[1650033702.522, '0.2911655']","[1650033732.522, '0.2911655']","[1650033762.526, '0.2911655']","[1650033792.522, '0.2911655']","[1650033822.522, '0.2911655']","[1650033852.522, '0.2911655']","[1650033882.525, '0.2911655']","[1650033912.522, '0.2911655']","[1650033942.522, '0.3257388']","[1650033972.524, '0.3257388']","[1650034002.522, '0.3257388']","[1650034032.522, '0.3913723']","[1650034062.522, '0.5377463']","[1650034092.522, '0.5377463']","[1650034122.524, '0.5377463']","[1650034152.522, '0.5377463']","[1650034182.528, '0.5377463']","[1650034212.522, '0.5377463']","[1650034242.522, '0.5377463']","[1650034272.522, '0.6011632']","[1650034302.522, '0.6011632']","[1650034332.528, '0.6011632']","[1650034362.522, '0.6011632']",alertmanager,https-metrics,/kubepods/burstable/podc7dbd9a5-f164-4dcd-a7b9-fb3cc8fc4af2/898fc0049a18c7e1f4857e6c6516a85dca679df528914bb8f07d642f945a413e,quay.io/prometheus/alertmanager:v0.22.2,10.1.0.79:10250,kubelet,/metrics/cadvisor,898fc0049a18c7e1f4857e6c6516a85dca679df528914bb8f07d642f945a413e,monitoring,fv-az208-96,alertmanager-main-0,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650032622.522, '0']","[1650032652.522, '0']","[1650032682.522, '21.3525035']","[1650032712.524, '43.1400634']","[1650032742.525, '60.5960678']","[1650032772.522, '60.5960678']","[1650032802.522, '75.471547']","[1650032832.522, '97.2184535']","[1650032862.522, '97.2184535']","[1650032892.522, '97.2184535']","[1650032922.522, '104.814602']","[1650032952.522, '139.9498212']","[1650032982.522, '139.9498212']","[1650033012.522, '139.9498212']","[1650033042.522, '147.202652']","[1650033072.522, '190.1181486']","[1650033102.522, '215.2213821']","[1650033132.522, '253.5934144']","[1650033162.522, '273.9144337']","[1650033192.522, '310.4164845']","[1650033222.522, '336.7224501']","[1650033252.522, '342.2370571']","[1650033282.522, '373.3355587']","[1650033312.522, '389.8566357']","[1650033342.524, '437.6590807']","[1650033372.522, '438.9694689']","[1650033402.522, '438.9694689']","[1650033432.522, '449.0099971']","[1650033462.522, '506.0294945']","[1650033492.522, '555.7662613']","[1650033522.522, '609.8169018']","[1650033552.522, '643.1461328']","[1650033582.522, '660.708147']","[1650033612.522, '693.0209956']","[1650033642.522, '726.0082267']","[1650033672.522, '775.3129724']","[1650033702.522, '841.8975201']","[1650033732.522, '868.7532044']","[1650033762.526, '925.4384277']","[1650033792.522, '982.3898503']","[1650033822.522, '1014.73139']","[1650033852.522, '1072.0790492']","[1650033882.525, '1114.9042636']","[1650033912.522, '1167.4627537']","[1650033942.522, '1229.2547516']","[1650033972.524, '1286.7915421']","[1650034002.522, '1341.6821279']","[1650034032.522, '1386.8702286']","[1650034062.522, '1439.1419493']",api,https-metrics,/kubepods/pod377cafe9-0459-4d3b-9265-8dcbf0cbc332/5eb33db7aef9dd2e3399b2eb0e4d86a82f80d978912d9227025a03ae1a577eb1,sha256:84c9175ca2086e54843e7df2c7f4cd1dd733bfd9a0ae4cf711790ed1e86a7339,10.1.0.79:10250,kubelet,/metrics/cadvisor,5eb33db7aef9dd2e3399b2eb0e4d86a82f80d978912d9227025a03ae1a577eb1,default,fv-az208-96,api-54b9c66577-ts687,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650034092.522, '0']","[1650034122.524, '8.2297268']","[1650034152.522, '38.1069329']","[1650034182.528, '102.7113715']","[1650034212.522, '144.5697062']","[1650034242.522, '198.9861942']","[1650034272.522, '246.2690523']","[1650034302.522, '308.8106836']","[1650034332.528, '338.1569312']","[1650034362.522, '393.508185']",api,https-metrics,/kubepods/pod377cafe9-0459-4d3b-9265-8dcbf0cbc332/f976fcffd65fff26a538a2afac5a555dfbcd730f976b4875b83e950730311e2b,sha256:84c9175ca2086e54843e7df2c7f4cd1dd733bfd9a0ae4cf711790ed1e86a7339,10.1.0.79:10250,kubelet,/metrics/cadvisor,f976fcffd65fff26a538a2afac5a555dfbcd730f976b4875b83e950730311e2b,default,fv-az208-96,api-54b9c66577-ts687,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650033462.522, '0']","[1650033492.522, '0']","[1650033522.522, '0']","[1650033552.522, '0']","[1650033582.522, '10.9862864']","[1650033612.522, '28.3250128']","[1650033642.522, '61.5081865']","[1650033672.522, '105.8095061']","[1650033702.522, '149.069078']","[1650033732.522, '166.1224256']","[1650033762.526, '171.9063895']","[1650033792.522, '192.9872251']","[1650033822.522, '230.5677454']","[1650033852.522, '281.1771801']","[1650033882.525, '310.3990849']","[1650033912.522, '366.6605094']","[1650033942.522, '429.2356944']","[1650033972.524, '480.7244592']","[1650034002.522, '532.0161838']","[1650034032.522, '563.7484804']","[1650034062.522, '599.8127632']","[1650034092.522, '623.0161756']","[1650034122.524, '642.3721537']","[1650034152.522, '668.6519024']",api,https-metrics,/kubepods/pod42fa73bb-dae0-4513-811f-2c3cdee2bd26/a8e40b9afd6414af029288e353f6d4c56797d53c77d50598e6644b4ef90664eb,sha256:84c9175ca2086e54843e7df2c7f4cd1dd733bfd9a0ae4cf711790ed1e86a7339,10.1.0.79:10250,kubelet,/metrics/cadvisor,a8e40b9afd6414af029288e353f6d4c56797d53c77d50598e6644b4ef90664eb,default,fv-az208-96,api-54b9c66577-wqthg,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650034182.528, '0.0524835']","[1650034212.522, '39.5135739']","[1650034242.522, '58.9028674']","[1650034272.522, '91.6382867']","[1650034302.522, '114.8952732']","[1650034332.528, '146.130919']","[1650034362.522, '169.2329011']",api,https-metrics,/kubepods/pod42fa73bb-dae0-4513-811f-2c3cdee2bd26/e9fd9b48329f92788d4a45db3d60aefe66d8b1573f7a6088255d4f21ed5dcd28,sha256:84c9175ca2086e54843e7df2c7f4cd1dd733bfd9a0ae4cf711790ed1e86a7339,10.1.0.79:10250,kubelet,/metrics/cadvisor,e9fd9b48329f92788d4a45db3d60aefe66d8b1573f7a6088255d4f21ed5dcd28,default,fv-az208-96,api-54b9c66577-wqthg,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650033222.522, '0']","[1650033252.522, '0']",api,https-metrics,/kubepods/pod58731a6e-d9a6-4022-83d9-9e7a7b230ecf/b059af32bffa9a540ae07630a94650f67aaaed9ec64cd196120eeced04d0769d,sha256:84c9175ca2086e54843e7df2c7f4cd1dd733bfd9a0ae4cf711790ed1e86a7339,10.1.0.79:10250,kubelet,/metrics/cadvisor,b059af32bffa9a540ae07630a94650f67aaaed9ec64cd196120eeced04d0769d,default,fv-az208-96,api-54b9c66577-n5dsk,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650032622.522, '0']","[1650032652.522, '0']","[1650032682.522, '0']","[1650032712.524, '0']","[1650032742.525, '19.5711535']","[1650032772.522, '34.2551234']","[1650032802.522, '60.094207']","[1650032832.522, '68.4967056']","[1650032862.522, '96.3318432']","[1650032892.522, '113.6424558']","[1650032922.522, '153.255465']","[1650032952.522, '163.3964947']","[1650032982.522, '186.1069611']","[1650033012.522, '189.9117488']","[1650033042.522, '189.9117488']","[1650033072.522, '189.9117488']","[1650033102.522, '189.9117488']","[1650033132.522, '192.1904623']","[1650033162.522, '208.1827418']","[1650033192.522, '212.2484241']","[1650033222.522, '217.7687988']","[1650033252.522, '264.1457437']","[1650033282.522, '321.2916603']","[1650033312.522, '382.5982096']","[1650033342.524, '420.9705174']","[1650033372.522, '458.9626889']","[1650033402.522, '504.8217861']","[1650033432.522, '562.8405178']","[1650033462.522, '601.4907916']","[1650033492.522, '623.1351488']","[1650033522.522, '663.2524614']","[1650033552.522, '695.8443475']","[1650033582.522, '757.1314135']","[1650033612.522, '814.3744472']","[1650033642.522, '849.1659799']","[1650033672.522, '915.4520929']","[1650033702.522, '962.3800096']","[1650033732.522, '1022.3178211']","[1650033762.526, '1070.4632956']","[1650033792.522, '1090.5579054']","[1650033822.522, '1108.5637013']","[1650033852.522, '1130.0689049']","[1650033882.525, '1147.4298014']","[1650033912.522, '1173.0030836']","[1650033942.522, '1196.0984159']","[1650033972.524, '1206.0161192']","[1650034002.522, '1231.4615027']",api,https-metrics,/kubepods/pod69a04988-8b4e-4687-928a-fe2c1f601b0d/949c158ae2ff2b58f915122675dd1ccab8a3d7a8e196555a9d787ec857586303,sha256:84c9175ca2086e54843e7df2c7f4cd1dd733bfd9a0ae4cf711790ed1e86a7339,10.1.0.79:10250,kubelet,/metrics/cadvisor,949c158ae2ff2b58f915122675dd1ccab8a3d7a8e196555a9d787ec857586303,default,fv-az208-96,api-54b9c66577-djc55,kubelet
container_cpu_cfs_throttled_seconds_total,"[1650034362.522, '0']",api,https-metrics,/kubepods/pod69a04988-8b4e-4687-928a-fe2c1f601b0d/d2d96b5b41c704345fdc10dc450e658567f71aa677ec77dd0ae8d23451d38e9b,sha256:84c9175ca2086e54843e7df2c7f4cd1dd733bfd9a0ae4cf711790ed1e86a7339,10.1.0.79:10250,kubelet,/metrics/cadvisor,d2d96b5b41c704345fdc10dc450e658567f71aa677ec77dd0ae8d23451d38e9b,default,fv-az208-96,api-54b9c66577-djc55,kubelet
