name,timestamp,value,container,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service
container_threads,"[1650099081.025, '7']","[1650099111.028, '7']","[1650099141.025, '8']","[1650099171.025, '8']","[1650099201.029, '8']","[1650099231.03, '8']","[1650099261.025, '8']","[1650099291.025, '8']","[1650099321.025, '8']","[1650099351.025, '8']","[1650099381.025, '8']","[1650099411.025, '8']","[1650099441.025, '8']","[1650099471.029, '8']","[1650099501.029, '8']","[1650099531.025, '8']","[1650099561.025, '8']","[1650099591.03, '8']","[1650099621.025, '8']","[1650099651.025, '8']","[1650099681.028, '8']","[1650099711.025, '8']","[1650099741.025, '8']","[1650099771.025, '8']","[1650099801.025, '8']","[1650099831.028, '8']","[1650099861.028, '8']","[1650099891.028, '8']","[1650099921.025, '8']","[1650099951.028, '8']","[1650099981.028, '8']","[1650100011.025, '8']","[1650100041.031, '8']","[1650100071.025, '8']","[1650100101.029, '8']","[1650100131.025, '8']","[1650100161.03, '8']","[1650100191.025, '8']","[1650100221.025, '8']","[1650100251.025, '8']","[1650100281.025, '8']","[1650100311.029, '8']","[1650100341.03, '8']","[1650100371.033, '8']","[1650100401.025, '8']","[1650100431.031, '8']","[1650100461.031, '8']","[1650100491.025, '8']","[1650100521.031, '8']","[1650100551.025, '8']","[1650100581.031, '8']","[1650100611.025, '8']","[1650100641.025, '8']","[1650100671.025, '8']","[1650100701.025, '8']","[1650100731.025, '8']","[1650100761.025, '8']","[1650100791.03, '8']",alertmanager,https-metrics,/kubepods/burstable/pod2ab62fb8-458a-45db-ac91-b95662ab81aa/ec465ed285584708d8ab71e5e822a2bf2f0a3c073a198817ddb799daa7e1db0c,sha256:bed86c08a78add7d3fa3a25473e229c5aab6e8e26d33e0faef088514d79dad67,10.1.0.32:10250,kubelet,/metrics/cadvisor,ec465ed285584708d8ab71e5e822a2bf2f0a3c073a198817ddb799daa7e1db0c,monitoring,fv-az213-807,alertmanager-main-2,kubelet
container_threads,"[1650099081.025, '7']","[1650099111.028, '8']","[1650099141.025, '8']","[1650099171.025, '8']","[1650099201.029, '8']","[1650099231.03, '8']","[1650099261.025, '8']","[1650099291.025, '8']","[1650099321.025, '8']","[1650099351.025, '8']","[1650099381.025, '8']","[1650099411.025, '8']","[1650099441.025, '8']","[1650099471.029, '8']","[1650099501.029, '8']","[1650099531.025, '8']","[1650099561.025, '8']","[1650099591.03, '8']","[1650099621.025, '9']","[1650099651.025, '9']","[1650099681.028, '9']","[1650099711.025, '9']","[1650099741.025, '9']","[1650099771.025, '9']","[1650099801.025, '9']","[1650099831.028, '9']","[1650099861.028, '9']","[1650099891.028, '9']","[1650099921.025, '9']","[1650099951.028, '9']","[1650099981.028, '9']","[1650100011.025, '9']","[1650100041.031, '9']","[1650100071.025, '9']","[1650100101.029, '9']","[1650100131.025, '9']","[1650100161.03, '9']","[1650100191.025, '9']","[1650100221.025, '9']","[1650100251.025, '9']","[1650100281.025, '9']","[1650100311.029, '9']","[1650100341.03, '9']","[1650100371.033, '9']","[1650100401.025, '9']","[1650100431.031, '9']","[1650100461.031, '9']","[1650100491.025, '9']","[1650100521.031, '9']","[1650100551.025, '9']","[1650100581.031, '9']","[1650100611.025, '9']","[1650100641.025, '9']","[1650100671.025, '9']","[1650100701.025, '9']","[1650100731.025, '9']","[1650100761.025, '9']","[1650100791.03, '9']",alertmanager,https-metrics,/kubepods/burstable/pod3c296623-0508-4723-a300-88c6b911aeef/a8ad6a15125d18822cb320f26d96781fb9d16173efa8de2f1ffa5811639bca75,sha256:bed86c08a78add7d3fa3a25473e229c5aab6e8e26d33e0faef088514d79dad67,10.1.0.32:10250,kubelet,/metrics/cadvisor,a8ad6a15125d18822cb320f26d96781fb9d16173efa8de2f1ffa5811639bca75,monitoring,fv-az213-807,alertmanager-main-1,kubelet
container_threads,"[1650099081.025, '7']","[1650099111.028, '7']","[1650099141.025, '7']","[1650099171.025, '7']","[1650099201.029, '7']","[1650099231.03, '7']","[1650099261.025, '7']","[1650099291.025, '8']","[1650099321.025, '8']","[1650099351.025, '8']","[1650099381.025, '8']","[1650099411.025, '8']","[1650099441.025, '8']","[1650099471.029, '8']","[1650099501.029, '9']","[1650099531.025, '9']","[1650099561.025, '9']","[1650099591.03, '9']","[1650099621.025, '9']","[1650099651.025, '9']","[1650099681.028, '9']","[1650099711.025, '9']","[1650099741.025, '9']","[1650099771.025, '9']","[1650099801.025, '9']","[1650099831.028, '9']","[1650099861.028, '9']","[1650099891.028, '9']","[1650099921.025, '9']","[1650099951.028, '9']","[1650099981.028, '9']","[1650100011.025, '9']","[1650100041.031, '9']","[1650100071.025, '9']","[1650100101.029, '9']","[1650100131.025, '9']","[1650100161.03, '9']","[1650100191.025, '10']","[1650100221.025, '10']","[1650100251.025, '10']","[1650100281.025, '10']","[1650100311.029, '10']","[1650100341.03, '10']","[1650100371.033, '10']","[1650100401.025, '10']","[1650100431.031, '10']","[1650100461.031, '10']","[1650100491.025, '10']","[1650100521.031, '10']","[1650100551.025, '10']","[1650100581.031, '10']","[1650100611.025, '10']","[1650100641.025, '10']","[1650100671.025, '10']","[1650100701.025, '10']","[1650100731.025, '10']","[1650100761.025, '10']","[1650100791.03, '10']",alertmanager,https-metrics,/kubepods/burstable/pod74990625-620d-4017-9d9e-0f1ef1179eef/485a9aea4936bee5adf537ed85c257a402d375df5afe9fa2bab92444616a8fee,sha256:bed86c08a78add7d3fa3a25473e229c5aab6e8e26d33e0faef088514d79dad67,10.1.0.32:10250,kubelet,/metrics/cadvisor,485a9aea4936bee5adf537ed85c257a402d375df5afe9fa2bab92444616a8fee,monitoring,fv-az213-807,alertmanager-main-0,kubelet
container_threads,"[1650100101.029, '5']","[1650100131.025, '5']","[1650100161.03, '5']","[1650100191.025, '6']","[1650100221.025, '6']","[1650100251.025, '6']","[1650100281.025, '6']","[1650100311.029, '6']","[1650100341.03, '6']","[1650100371.033, '6']","[1650100401.025, '6']","[1650100431.031, '6']","[1650100461.031, '6']","[1650100491.025, '6']","[1650100521.031, '6']","[1650100551.025, '6']","[1650100581.031, '6']","[1650100611.025, '6']","[1650100641.025, '6']","[1650100671.025, '6']","[1650100701.025, '6']","[1650100731.025, '6']","[1650100761.025, '6']","[1650100791.03, '6']",api,https-metrics,/kubepods/pod3f2169ad-973f-492a-aa55-343b29606a4f/9d9368ac7d9df6b56695676ddfef51650e3e19ad7fd3cd5ba559e62e44ea5810,sha256:ebb08b8ebffa26a12a3883deabef235988e4693c47afe1ad8619d596245f2ecc,10.1.0.32:10250,kubelet,/metrics/cadvisor,9d9368ac7d9df6b56695676ddfef51650e3e19ad7fd3cd5ba559e62e44ea5810,default,fv-az213-807,api-54b9c66577-rb5zf,kubelet
container_threads,"[1650099711.025, '5']","[1650099741.025, '5']",api,https-metrics,/kubepods/pod6954e30b-e242-468a-a3a2-068ac64e45ae/90848f52bd2f1df8e2f80795cc04117db7c54cbdc913e59acc4af1a270be421e,sha256:ebb08b8ebffa26a12a3883deabef235988e4693c47afe1ad8619d596245f2ecc,10.1.0.32:10250,kubelet,/metrics/cadvisor,90848f52bd2f1df8e2f80795cc04117db7c54cbdc913e59acc4af1a270be421e,default,fv-az213-807,api-54b9c66577-g7x5p,kubelet
container_threads,"[1650099081.025, '6']","[1650099111.028, '6']","[1650099141.025, '6']","[1650099171.025, '6']","[1650099201.029, '6']","[1650099231.03, '6']","[1650099261.025, '6']","[1650099291.025, '6']","[1650099321.025, '6']","[1650099351.025, '6']","[1650099381.025, '6']","[1650099411.025, '6']","[1650099441.025, '6']","[1650099471.029, '6']","[1650099501.029, '6']","[1650099531.025, '6']","[1650099561.025, '6']","[1650099591.03, '6']","[1650099621.025, '6']","[1650099651.025, '6']","[1650099681.028, '6']","[1650099711.025, '6']","[1650099741.025, '6']","[1650099771.025, '6']","[1650099801.025, '6']","[1650099831.028, '6']","[1650099861.028, '6']","[1650099891.028, '6']","[1650099921.025, '6']","[1650099951.028, '6']","[1650099981.028, '6']","[1650100011.025, '6']","[1650100041.031, '6']","[1650100071.025, '6']","[1650100101.029, '6']","[1650100131.025, '6']","[1650100161.03, '6']","[1650100191.025, '6']","[1650100221.025, '6']","[1650100251.025, '6']","[1650100281.025, '6']","[1650100311.029, '6']","[1650100341.03, '6']","[1650100371.033, '6']","[1650100401.025, '6']","[1650100431.031, '6']","[1650100461.031, '6']","[1650100491.025, '6']","[1650100521.031, '6']","[1650100551.025, '6']","[1650100581.031, '6']","[1650100611.025, '6']","[1650100641.025, '6']","[1650100671.025, '6']","[1650100701.025, '6']","[1650100731.025, '6']","[1650100761.025, '6']","[1650100791.03, '6']",api,https-metrics,/kubepods/pod9763f076-75e7-4feb-bee6-92a524011870/4a6d539a9104f3a153cb4f6fc3e31e3c1ea72b95312c714dc3514dae0e264473,sha256:ebb08b8ebffa26a12a3883deabef235988e4693c47afe1ad8619d596245f2ecc,10.1.0.32:10250,kubelet,/metrics/cadvisor,4a6d539a9104f3a153cb4f6fc3e31e3c1ea72b95312c714dc3514dae0e264473,default,fv-az213-807,api-54b9c66577-mcksd,kubelet
container_threads,"[1650099951.028, '5']","[1650099981.028, '5']","[1650100011.025, '5']",api,https-metrics,/kubepods/podf1ced3b4-8e1b-4f70-9934-f3820a98c7f3/5212dc55b27cd48977652322412113980f86388adce9d6e0a70713f4e7dfedde,sha256:ebb08b8ebffa26a12a3883deabef235988e4693c47afe1ad8619d596245f2ecc,10.1.0.32:10250,kubelet,/metrics/cadvisor,5212dc55b27cd48977652322412113980f86388adce9d6e0a70713f4e7dfedde,default,fv-az213-807,api-54b9c66577-d7hpk,kubelet
container_threads,"[1650100791.03, '4']",api,https-metrics,/kubepods/podf37c8d6f-9c9c-4e04-962a-7d6a905f43f5/58e1a3d7e77a540345a7ff1c583b49d11f8bc117de3062d0068cdb71e8685d7b,sha256:ebb08b8ebffa26a12a3883deabef235988e4693c47afe1ad8619d596245f2ecc,10.1.0.32:10250,kubelet,/metrics/cadvisor,58e1a3d7e77a540345a7ff1c583b49d11f8bc117de3062d0068cdb71e8685d7b,default,fv-az213-807,api-54b9c66577-9x5r2,kubelet
container_threads,"[1650099081.025, '5']","[1650099111.028, '5']","[1650099141.025, '5']","[1650099171.025, '5']","[1650099201.029, '5']","[1650099231.03, '5']","[1650099261.025, '5']","[1650099291.025, '5']","[1650099321.025, '5']","[1650099351.025, '5']","[1650099381.025, '5']","[1650099411.025, '5']","[1650099441.025, '5']","[1650099471.029, '5']","[1650099501.029, '5']","[1650099531.025, '6']","[1650099561.025, '6']","[1650099591.03, '6']","[1650099621.025, '6']","[1650099651.025, '6']","[1650099681.028, '6']","[1650099711.025, '6']","[1650099741.025, '6']","[1650099771.025, '6']","[1650099801.025, '6']","[1650099831.028, '6']","[1650099861.028, '6']","[1650099891.028, '6']","[1650099921.025, '6']","[1650099951.028, '6']","[1650099981.028, '6']","[1650100011.025, '6']","[1650100041.031, '6']","[1650100071.025, '6']","[1650100101.029, '6']","[1650100131.025, '6']","[1650100161.03, '6']","[1650100191.025, '6']","[1650100221.025, '6']","[1650100251.025, '6']","[1650100281.025, '6']","[1650100311.029, '6']","[1650100341.03, '6']","[1650100371.033, '6']","[1650100401.025, '6']","[1650100431.031, '6']","[1650100461.031, '6']","[1650100491.025, '7']","[1650100521.031, '7']","[1650100551.025, '7']","[1650100581.031, '7']","[1650100611.025, '7']","[1650100641.025, '7']","[1650100671.025, '7']","[1650100701.025, '7']","[1650100731.025, '7']","[1650100761.025, '7']",api,https-metrics,/kubepods/podf37c8d6f-9c9c-4e04-962a-7d6a905f43f5/a8d9f0e5dda14440bafdb7c67dd6670464e9aebcfd1136bdf5227f71e0acbcc6,sha256:ebb08b8ebffa26a12a3883deabef235988e4693c47afe1ad8619d596245f2ecc,10.1.0.32:10250,kubelet,/metrics/cadvisor,a8d9f0e5dda14440bafdb7c67dd6670464e9aebcfd1136bdf5227f71e0acbcc6,default,fv-az213-807,api-54b9c66577-9x5r2,kubelet
container_threads,"[1650100731.025, '6']","[1650100761.025, '6']","[1650100791.03, '6']",api,https-metrics,/kubepods/podf884d8ae-cf4b-44f8-af88-633ff70b6821/ac476f226416d9fbdcccdc54c4d32f8d139fdbd11348a4ec888408e7f31863d3,sha256:ebb08b8ebffa26a12a3883deabef235988e4693c47afe1ad8619d596245f2ecc,10.1.0.32:10250,kubelet,/metrics/cadvisor,ac476f226416d9fbdcccdc54c4d32f8d139fdbd11348a4ec888408e7f31863d3,default,fv-az213-807,api-54b9c66577-c25pq,kubelet
